OGNTsort	KJVversification	OGNTversification
022843	41.7.21	41.7.22
035042	42.7.19	42.7.18
035043	42.7.19	42.7.18
035044	42.7.19	42.7.18
035045	42.7.19	42.7.18
035046	42.7.19	42.7.18
035047	42.7.19	42.7.18
035048	42.7.19	42.7.18
035049	42.7.19	42.7.18
035050	42.7.19	42.7.18
046316	42.21.34	42.21.35
046317	42.21.34	42.21.35
047391	42.22.66	42.22.67
068021	44.5.40	44.5.39
068022	44.5.40	44.5.39
068023	44.5.40	44.5.39
073498	44.13.39	44.13.38
073499	44.13.39	44.13.38
073500	44.13.39	44.13.38
073501	44.13.39	44.13.38
073502	44.13.39	44.13.38
073503	44.13.39	44.13.38
073504	44.13.39	44.13.38
073505	44.13.39	44.13.38
073506	44.13.39	44.13.38
073507	44.13.39	44.13.38
077570	44.19.41	44.19.40
077571	44.19.41	44.19.40
077572	44.19.41	44.19.40
077573	44.19.41	44.19.40
077574	44.19.41	44.19.40
077575	44.19.41	44.19.40
080563	44.24.18	44.24.19
080564	44.24.18	44.24.19
080565	44.24.18	44.24.19
080566	44.24.18	44.24.19
080567	44.24.18	44.24.19
080568	44.24.18	44.24.19
084555	45.3.25	45.3.26
084556	45.3.25	45.3.26
084557	45.3.25	45.3.26
084558	45.3.25	45.3.26
084559	45.3.25	45.3.26
086038	45.7.9	45.7.10
086039	45.7.9	45.7.10
086040	45.7.9	45.7.10
100245	47.10.5	47.10.4
100246	47.10.5	47.10.4
101611	47.13.13	47.13.12
101612	47.13.13	47.13.12
101613	47.13.13	47.13.12
101614	47.13.13	47.13.12
101615	47.13.13	47.13.12
101616	47.13.14	47.13.13
101617	47.13.14	47.13.13
101618	47.13.14	47.13.13
101619	47.13.14	47.13.13
101620	47.13.14	47.13.13
101621	47.13.14	47.13.13
101622	47.13.14	47.13.13
101623	47.13.14	47.13.13
101624	47.13.14	47.13.13
101625	47.13.14	47.13.13
101626	47.13.14	47.13.13
101627	47.13.14	47.13.13
101628	47.13.14	47.13.13
101629	47.13.14	47.13.13
101630	47.13.14	47.13.13
101631	47.13.14	47.13.13
101632	47.13.14	47.13.13
101633	47.13.14	47.13.13
101634	47.13.14	47.13.13
101635	47.13.14	47.13.13
102338	48.2.20	48.2.19
102339	48.2.20	48.2.19
104026	49.1.11	49.1.10
104027	49.1.11	49.1.10
104513	49.2.15	49.2.14
104514	49.2.15	49.2.14
104515	49.2.15	49.2.14
104516	49.2.15	49.2.14
105603	49.5.13	49.5.14
105604	49.5.13	49.5.14
105605	49.5.13	49.5.14
105606	49.5.13	49.5.14
105607	49.5.13	49.5.14
105608	49.5.13	49.5.14
106878	50.2.8	50.2.7
106879	50.2.8	50.2.7
106880	50.2.8	50.2.7
106881	50.2.8	50.2.7
106882	50.2.8	50.2.7
109531	52.1.3	52.1.2
109811	52.2.6	52.2.7
109812	52.2.6	52.2.7
109813	52.2.6	52.2.7
109814	52.2.6	52.2.7
109815	52.2.6	52.2.7
109816	52.2.6	52.2.7
109817	52.2.6	52.2.7
116329	58.3.9	58.3.10
116330	58.3.9	58.3.10
120088	58.12.23	58.12.22
123370	60.3.15	60.3.16
123371	60.3.15	60.3.16
123372	60.3.15	60.3.16
123373	60.3.15	60.3.16
123374	60.3.15	60.3.16
125547	62.2.13	62.2.14
125548	62.2.13	62.2.14
125549	62.2.13	62.2.14
125550	62.2.13	62.2.14
125551	62.2.13	62.2.14
125552	62.2.13	62.2.14
125553	62.2.13	62.2.14
127694	64.1.14	64.1.15
127695	64.1.14	64.1.15
127696	64.1.14	64.1.15
127697	64.1.14	64.1.15
127698	64.1.14	64.1.15
127699	64.1.14	64.1.15
127700	64.1.14	64.1.15
127701	64.1.14	64.1.15
127702	64.1.14	64.1.15
127703	64.1.14	64.1.15
127704	64.1.14	64.1.15
129230	66.2.27	66.2.28
129231	66.2.27	66.2.28
129232	66.2.27	66.2.28
129233	66.2.27	66.2.28
129234	66.2.27	66.2.28
129235	66.2.27	66.2.28
129236	66.2.27	66.2.28
133260	66.12.17	66.12.18
133261	66.12.17	66.12.18
133262	66.12.17	66.12.18
133263	66.12.17	66.12.18
133264	66.12.17	66.12.18
133265	66.12.17	66.12.18
133266	66.12.17	66.12.18
135193	66.17.10	66.17.9
135194	66.17.10	66.17.9
135195	66.17.10	66.17.9
135196	66.17.10	66.17.9
