OGNTsort	BGBorder	OGNTorder	Verse	OGNT_agrees_with
001248	τεσσερακοντα	νυκτας	〔40｜4｜2〕	TR, BYZ, WH, SBL, BHP
001249	νυκτας	τεσσερακοντα		
005731	προφητην	ιδειν	〔40｜11｜9〕	TR, BYZ
005732	ιδειν	προφητην		
007499	αυτω	λεγουσιν	〔40｜13｜28〕	TR*, BYZ*, BHP
007500	λεγουσιν	αυτω		
009084	κυλλους	τυφλους	〔40｜15｜30〕	TR, BYZ, BHP
009085	τυφλους	κυλλους		
010748	εις	αυτω	〔40｜18｜24〕	TR, BYZ, SBL
010749	αυτω	εις		
011271	Ταυτα	παντα	〔40｜19｜20〕	TR, BYZ, SBL, BHP
011272	παντα	Ταυτα		
011455	μου	ονοματος	〔40｜19｜29〕	TR, BYZ, SBL
011456	ονοματος	μου		
011644	αυτους	ημιν	〔40｜20｜12〕	TR, BYZ, BHP
011645	ημιν	αυτους		
011957	Κυριε	ελεησον	〔40｜20｜30〕	TR, BYZ, BHP
011958	ελεησον	ημας		
011959	ημας	Κυριε		
011974	Κυριε	ελεησον	〔40｜20｜31〕	TR, BYZ
011975	ελεησον	ημας		
011976	ημας	Κυριε		
014837	εσονται	δυο	〔40｜24｜40〕	TR, BYZ, SBL
014838	δυο	εσονται		
018560	και	Μετα	〔41｜1｜14〕	TR, BYZ, BHP
018561	Μετα	και		
021918	ο	ειπεν	〔41｜6｜22〕	TR, BYZ, SBL, BHP
021919	βασιλευς	ο		
021920	ειπεν	βασιλευς		
022205	εχετε	αρτους	〔41｜6｜38〕	TR, BYZ, BHP
022206	αρτους	εχετε		
023062	ηνοιγησαν	ευθυς	〔41｜7｜35〕	TR, BYZ
023063	αυτου	ηνοιγησαν		
023064	αι	αυτου	 	
023065	ακοαι	αι	 	
023066	και	ακοαι	 	
023067	ευθυς	και	 	
027101	τι	αραι	〔41｜13｜15〕	TR, BYZ, BHP
027102	αραι	τι		
028634	δις	φωνησαι	〔41｜14｜72〕	TR, BYZ, SBL, BHP
028635	φωνησαι	δις		
032394	Προσκυνησεις	Κυριον	〔42｜4｜8〕	WH, SBL, BHP
032395	Κυριον	τον		
032396	τον	Θεον		
032397	Θεον	σου		
032398	σου	Προσκυνησεις		
033066	πλοια	δυο	〔42｜5｜2〕	TR, BYZ, SBL, BHP
033067	δυο	πλοια		
034252	καλως	υμας	〔42｜6｜26〕	BHP
034253	υμας	καλως		
036920	φαγειν	υμεις	〔42｜9｜13〕	TR, BYZ, SBL, BHP
036921	υμεις	φαγειν		
037025	οι	λεγουσιν	〔42｜9｜18〕	TR, BYZ
037026	οχλοι	οι		
037027	λεγουσιν	οχλοι		
037784	πρωτον	απελθοντι	〔42｜9｜59〕	TR, BYZ, SBL, BHP
037785	απελθοντι	πρωτον		
038492	δυο	εδωκεν	〔42｜10｜35〕	TR, BYZ, BHP
038493	δηναρια	δυο		
038494	εδωκεν	δηναρια		
038621	δε	ενος	〔42｜10｜42〕	TR, BYZ, BHP
038622	εστιν	δε		
038623	χρεια	εστιν		
038624	ενος	χρεια		
042725	δωσει	υμιν	〔42｜16｜12〕	TR, BYZ, BHP
042726	υμιν	δωσει		
043832	ταυτα	προς	〔42｜18｜11〕	TR, BYZ, SBL
043833	προς	εαυτον		
043834	εαυτον	ταυτα		
045739	αυτον	Κυριον	〔42｜20｜44〕	TR, BYZ, BHP
045740	Κυριον	αυτον		
054072	τα	σου	〔43｜7｜3〕	WH, SBL, BHP
054073	εργα	τα		
054074	σου	εργα		
054937	Μωυσης	ημιν	〔43｜8｜5〕	WH
054938	ημιν	Μωυσης		
054980	λιθον	επ	〔43｜8｜7〕	WH
054981	επ	αυτη		
054982	αυτη	βαλετω		
054983	βαλετω	λιθον		
056478	ο	αμαρτωλων	〔43｜9｜31〕	TR, BYZ, SBL, BHP
056479	Θεος	ο		
056480	αμαρτωλων	Θεος		
057162	εδειξα	καλα	〔43｜10｜32〕	TR, BYZ, SBL, BHP
057163	υμιν	εδειξα		
057164	καλα	υμιν		
060114	η	μεθ	〔43｜14｜16〕	BHP
060115	μεθ	υμων		
060116	υμων	εις		
060117	εις	τον		
060118	τον	αιωνα		
060119	αιωνα	η		
060596	του	τας	〔43｜15｜10〕	TR, BYZ, SBL
060597	Πατρος	εντολας		
060598	μου	του		
060599	τας	Πατρος		
060600	εντολας	μου		
061186	Τουτο	τι	〔43｜16｜18〕	WH, SBL, BHP
061187	τι	εστιν		
061188	εστιν	Τουτο		
061318	δωσει	εν	〔43｜16｜23〕	TR, BYZ
061319	υμιν	τω		
061320	εν	ονοματι		
061321	τω	μου		
061322	ονοματι	δωσει		
061323	μου	υμιν		
062670	αν	οι	〔43｜18｜36〕	WH, SBL, BHP
062671	οι	εμοι		
062672	εμοι	ηγωνιζοντο		
062673	ηγωνιζοντο	αν		
064612	ζωσει	σε	〔43｜21｜18〕	SBL
064613	σε	ζωσει		
065713	μου	η	〔44｜2｜26〕	TR, BYZ, SBL, BHP
065714	η	καρδια		
065715	καρδια	μου		
066571	ο	διεθετο	〔44｜3｜25〕	TR, BYZ, SBL, BHP
066572	Θεος	ο		
066573	διεθετο	Θεος		
067221	του	της	〔44｜4｜33〕	TR, BYZ, SBL, BHP
067222	Κυριου	αναστασεως		
067223	Ιησου	του		
067224	της	Κυριου		
067225	αναστασεως	Ιησου		
071918	εκ	φωνη	〔44｜11｜9〕	TR, BYZ, SBL, BHP
071919	δευτερου	εκ		
071920	φωνη	δευτερου		
075111	της	μεριδος	〔44｜16｜12〕	TR, BYZ
075112	μεριδος	της		
078327	εξαρτισαι	ημας	〔44｜21｜5〕	TR, BYZ, BHP
078328	ημας	εξαρτισαι		
080084	τινας	δυο	〔44｜23｜23〕	TR, BYZ
080085	δυο	τινας		
080903	Εστως	επι	〔44｜25｜10〕	TR, BYZ, SBL, BHP
080904	επι	του		
080905	του	βηματος		
080906	βηματος	Καισαρος		
080907	Καισαρος	Εστως		
082001	ην	πολις	〔44｜27｜8〕	BHP
082002	πολις	ην		
082763	ημερας	τρεις	〔44｜28｜7〕	TR, BYZ, SBL
082764	τρεις	ημερας		
086499	εκ	Χριστον	〔45｜8｜11〕	TR, BYZ
086500	νεκρων	εκ		
086501	Χριστον	νεκρων		
086550	εισιν	Θεου	〔45｜8｜14〕	BHP
086551	Θεου	εισιν		
088424	τω	ευαρεστον	〔45｜12｜1〕	TR, BYZ, SBL, BHP
088425	Θεω	τω		
088426	ευαρεστον	Θεω		
089709	Οψονται	οις	〔45｜15｜21〕	TR, BYZ, SBL, BHP
089710	οις	ουκ		
089711	ουκ	ανηγγελη		
089712	ανηγγελη	περι		
089713	περι	αυτου		
089714	αυτου	Οψονται		
091348	εν	οικει	〔46｜3｜16〕	TR, BYZ, SBL, BHP
091349	υμιν	εν		
091350	οικει	υμιν		
097544	Χριστος	Ιησους	〔47｜1｜19〕	TR, BYZ, SBL, BHP
097545	Ιησους	Χριστος		
098315	Χριστον	Ιησουν	〔47｜4｜5〕	BHP
098316	Ιησουν	Χριστον		
101919	τρια	ετη	〔48｜1｜18〕	TR, BYZ, SBL, BHP
101920	ετη	τρια		
102277	Χριστου	Ιησου	〔48｜2｜16〕	TR, BYZ, SBL, BHP
102278	Ιησου	Χριστου		
102587	Ιησου	Χριστω	〔48｜3｜14〕	TR, BYZ, SBL, BHP
102588	Χριστω	Ιησου		
107081	Χριστου	Ιησου	〔50｜2｜21〕	SBL, BHP
107082	Ιησου	Χριστου		
109948	αληθως	εστιν	〔52｜2｜13〕	TR, BYZ
109949	εστιν	αληθως		
112031	Ιησους	Χριστος	〔54｜1｜16〕	WH, SBL
112032	Χριστος	Ιησους		
114227	ζην	ευσεβως	〔55｜3｜12〕	TR, BYZ
114228	ευσεβως	ζην		
115039	Χριστου	Ιησου	〔56｜2｜13〕	TR, BYZ, SBL, BHP
115040	Ιησου	Χριστου		
120884	ακροαται	μονον	〔59｜1｜22〕	TR, BYZ, BHP
120885	μονον	ακροαται		
121039	εκει	η	〔59｜2｜3〕	WH, SBL
121040	η	Καθου		
121041	Καθου	εκει		
122807	εκλεκτον	ακρογωνιαιον	〔60｜2｜6〕	TR, BYZ, SBL, BHP
122808	ακρογωνιαιον	εκλεκτον		
126616	τετελειωμενη	εν	〔62｜4｜12〕	SBL
126617	εν	ημιν		
126618	ημιν	τετελειωμενη		
127037	ο	ημιν	〔62｜5｜11〕	TR, BYZ, BHP
127038	Θεος	ο		
127039	ημιν	Θεος		
127476	πεπληρωμενη	η	〔63｜1｜12〕	TR, BYZ
127477	η	πεπληρωμενη		
132875	πυρρος	μεγας	〔66｜12｜3〕	TR, BYZ, WH, SBL
132876	μεγας	πυρρος		
