Book	Chapter	Verse	OGNT	TANTT
40	4	16	σκοτίᾳ	σκότει
40	7	14	ὅτι	τί
40	9	19	ἠκολούθει	ἠκολούθησεν
41	1	6	ἔσθων	ἐσθίων
41	3	11	λέγοντα	λέγοντες
41	3	31	ἔρχονται	ἔρχεται
41	7	9	τηρήσητε	στήσητε
41	7	35	εὐθὺς	εὐθέως
41	14	46	ἐπέβαλαν	ἐπέβαλον
42	2	19	Μαρία	Μαριὰμ
42	19	36	ἑαυτῶν	αὐτῶν
43	2	15	τὰ	τὸ
43	2	15	κέρματα	κέρμα
43	7	39	οὗ	ὃ
43	18	2	ᾔδει	Ἤιδει
43	19	35	πιστεύητε	πιστεύσητε
43	20	31	πιστεύητε	πιστεύσητε
43	21	25	χωρήσειν	χωρῆσαι
44	1	11	βλέποντες	ἐμβλέποντες
44	3	19	πρὸς	εἰς
44	4	9	σέσωσται	σέσωται
44	4	32	πάντα	ἅπαντα
44	5	19	ἤνοιξε	ἀνοίξας
44	13	11	δὲ	τε
44	13	33	ἡμῶν	ἡμῖν
44	15	4	Ἱεροσόλυμα	Ἰερουσαλὴμ
44	18	23	στηρίζων	ἐπιστηρίζων
44	20	30	ἑαυτῶν	αὐτῶν
44	22	8	ἐμέ	με
44	22	13	ἐμὲ	με
44	23	7	λαλοῦντος	εἰπόντος
44	23	17	ἄπαγε	ἀπάγαγε
44	23	22	ἐμέ	με
45	10	5	αὐτῇ	αὐτοῖς
45	15	23	ἱκανῶν	πολλῶν
46	2	10	γὰρ	δὲ
46	10	2	ἐβαπτίσαντο	ἐβαπτίσθησαν
47	1	12	ἁγιότητι	ἁπλότητι
47	5	3	ἐνδυσάμενοι	ἐκδυσάμενοι
47	8	16	διδόντι	δόντι
47	9	4	λέγωμεν	λέγω
48	2	14	οὐκ	οὐχὶ
49	1	20	ἐνήργηκεν	ἐνήργησεν
51	1	7	ἡμῶν	ὑμῶν
51	3	22	ὀφθαλμοδουλίαις	ὀφθαλμοδουλίᾳ
52	5	10	περὶ	ὑπὲρ
56	2	3	μηδὲ	μὴ
58	3	6	ἐὰν	ἐάνπερ
58	6	2	διδαχὴν	διδαχῆς
59	1	20	ἐργάζεται	κατεργάζεται
59	5	4	ἀφυστερημένος	ἀπεστερημένος
59	5	10	κακοπαθίας	κακοπαθείας
60	1	6	λυπηθέντες	λυπηθέντας
60	4	16	ὀνόματι	μέρει
61	2	6	ἀσεβέσιν	ἀσεβεῖν
61	2	18	ὀλίγως	ὄντως
61	3	6	ὧν	ὃν
61	3	16	στρεβλοῦσιν	στρεβλώσουσιν
62	3	7	Τεκνία	Παιδία
65	1	16	αὐτῶν	ἑαυτῶν
66	19	7	δώσομεν	δώσωμεν
